10,10,move right;move right;move right;add Destornillador 44;remove Carpeta 22;move down
Destornillador.95.500;Lapiz.91.938;Cable.93.704;Clavo.76.972;Pegamento.81.799;JetsonNano.66.611,Goma.28.565;Martillo.44.583;Arduino.36.331;Serrucho.1.398;Raspberry.23.72;Alicate.7.248,Lapiz.7.235;Clavo.22.223;Arduino.33.535;Tijeras.48.880;Tuerca.12.227;Carpeta.22.508,Sacapuntas.56.933;Destornillador.99.841;Pegamento.55.302;Goma.83.647;Lapiz.85.430;Serrucho.40.481;Carpeta.17.840;Cable.25.885,Tijeras.84.968;Pegamento.57.799;Boligrafo.55.215;Alicate.84.313;Tornillo.20.561;Sacapuntas.94.912;Serrucho.91.905;Carpeta.29.32,Tornillo.51.210;Goma.100.761;Martillo.49.373;JetsonNano.13.703;Lapiz.36.699;Cable.36.356;Pegamento.41.496;Alicate.34.279,Cable.60.891;Sacapuntas.98.510;Tuerca.93.862;Raspberry.69.258;Martillo.88.539;Destornillador.80.967;Arduino.55.233,Sacapuntas.15.599;Tornillo.22.905;Cuaderno.55.448;Lapiz.84.667;JetsonNano.75.750;Cable.48.319,Raspberry.14.996,Destornillador.65.470;Clavo.54.13;IntelGalileo.78.263;Tuerca.2.762;Arduino.3.118
Tornillo.80.316;Cuaderno.81.453;Alicate.4.212;Lapiz.66.263;JetsonNano.29.680;Arduino.18.80;Sacapuntas.5.609;OrangePi.70.70,Tuerca.51.99;OrangePi.47.819,Goma.83.745;Tijeras.14.845,Martillo.1.367,Goma.5.657;Sacapuntas.73.495,IntelGalileo.24.149;OrangePi.99.180;Serrucho.8.487;Destornillador.35.111;Lapiz.4.836;Arduino.32.227;Clavo.32.946;Tornillo.76.77;Goma.62.948,Destornillador.74.466;Tuerca.36.298,OrangePi.57.478;Cable.55.568;Tijeras.58.564;JetsonNano.54.442,Martillo.84.169;Goma.58.265;Pegamento.30.900;Sacapuntas.100.92,Arduino.75.819;OrangePi.59.784;Tijeras.57.209;Raspberry.2.16;Alicate.97.968
Sacapuntas.96.52;Cuaderno.78.842;IntelGalileo.6.600;Tornillo.88.138;Clavo.1.202,OrangePi.82.607;Cuaderno.50.19;Tornillo.30.808;Destornillador.89.832;Serrucho.69.229;Alicate.98.397;Tuerca.73.833,Alicate.53.391,Carpeta.58.508,Sacapuntas.77.853;JetsonNano.24.963;Destornillador.8.150;Tijeras.39.869;Martillo.53.456;Clavo.24.591;Arduino.7.284;Boligrafo.61.444,Tornillo.42.264;Destornillador.43.486;Serrucho.80.325;OrangePi.32.125;Tuerca.79.332;Goma.81.262;Cable.6.396;Boligrafo.41.358;Martillo.74.977,Goma.41.669;Carpeta.8.676;Serrucho.83.56;Lapiz.35.735;Alicate.28.81,Sacapuntas.46.220;Martillo.12.430;Arduino.12.364;Goma.52.467;Destornillador.14.674;Cable.61.597;JetsonNano.17.858;Tornillo.95.995;Tijeras.1.392,Pegamento.29.643;Tornillo.95.130;Tuerca.8.765;Raspberry.57.932;Martillo.24.374,IntelGalileo.91.878;Tijeras.43.767;Tornillo.86.130;Clavo.69.681;Cable.2.82;Sacapuntas.71.803
Pegamento.10.490,Raspberry.85.691;Cuaderno.8.311;Pegamento.83.531;Arduino.77.637;Cable.95.428,Lapiz.96.412;Serrucho.86.530;Boligrafo.77.574;Martillo.43.884,Serrucho.18.270,Pegamento.25.4;Cable.51.361;Goma.100.853;Carpeta.54.327;Lapiz.38.70;Clavo.49.171,Goma.81.579;Sacapuntas.41.269;Raspberry.44.820,Arduino.28.584;Lapiz.77.821;IntelGalileo.38.667;Cuaderno.91.500;Sacapuntas.67.989;Serrucho.85.895;Pegamento.86.48;Carpeta.42.786;Destornillador.95.436,Lapiz.93.381,Pegamento.11.51;Tornillo.16.405;JetsonNano.3.629;Cable.20.746;Carpeta.77.154;Tuerca.60.896;Goma.76.517,Alicate.79.721;Cuaderno.76.441;Boligrafo.12.763;Clavo.57.696;Serrucho.58.730
Tuerca.78.26;Boligrafo.41.953;Serrucho.46.517;Lapiz.52.413;Tijeras.9.332;Alicate.18.416;Martillo.68.714;Carpeta.79.154;JetsonNano.58.173,Destornillador.39.53;Tijeras.66.990;Raspberry.60.682;Lapiz.98.943;Boligrafo.78.253;Tornillo.42.661;Arduino.53.137;Serrucho.7.184;Cable.36.520,OrangePi.12.679;Cable.41.208;Arduino.20.930;Tuerca.78.671;Serrucho.9.917;Alicate.26.140;Lapiz.50.218,Arduino.71.449;IntelGalileo.60.715,Pegamento.30.868;Arduino.14.9;Boligrafo.96.326;IntelGalileo.13.573;Lapiz.86.868,Lapiz.6.812;Alicate.95.777;Clavo.83.117;Tornillo.76.864,Destornillador.44.441;Alicate.92.929;Serrucho.31.777;Boligrafo.40.738;JetsonNano.18.21,Tuerca.1.709;Alicate.25.354;Tijeras.7.280,Pegamento.20.93;Tuerca.16.961,Martillo.76.171;Destornillador.59.382;Arduino.35.541;Cable.7.882;Clavo.90.829;OrangePi.73.357;Raspberry.26.497;Sacapuntas.33.754
Goma.54.616;Serrucho.92.221;Destornillador.65.518;Cuaderno.54.358,Serrucho.79.175;Arduino.43.715;Cable.39.410;Martillo.62.654,Cuaderno.33.499;Martillo.28.582,Tuerca.89.99;Alicate.70.587;Destornillador.83.514;OrangePi.84.861;Tijeras.90.65;Pegamento.8.756;Tornillo.94.359,Alicate.34.427;Carpeta.84.853;Destornillador.6.804,Destornillador.28.964;Lapiz.2.72,Goma.55.532;Raspberry.28.958;Tijeras.60.822;Tuerca.52.625;Clavo.17.365;Arduino.41.415;JetsonNano.49.700;OrangePi.12.263,Serrucho.3.51;Destornillador.46.421;JetsonNano.38.586;Cable.63.786;Tijeras.63.175,Raspberry.38.978;Clavo.59.477;OrangePi.88.242;JetsonNano.99.202,Alicate.15.21;Destornillador.74.125;Martillo.55.482
Arduino.46.182,Destornillador.7.908;Sacapuntas.19.889;Raspberry.89.427;IntelGalileo.84.251;Serrucho.18.233;Carpeta.36.154;Boligrafo.34.768,Carpeta.42.895;Cable.39.516,IntelGalileo.20.977;Sacapuntas.96.95;Goma.88.235;Martillo.74.823;Arduino.57.617;Tornillo.80.390;Cuaderno.75.577;Clavo.40.185;Cable.45.156,Alicate.96.127,Lapiz.34.63;Raspberry.80.347;Boligrafo.53.458;Martillo.63.530;Clavo.100.40;Goma.69.969,Arduino.30.412;Serrucho.10.219;Destornillador.62.578;OrangePi.73.227;Alicate.71.161,Pegamento.37.645;IntelGalileo.26.66;JetsonNano.52.731;Tijeras.9.963;Destornillador.1.437;Clavo.93.178,Boligrafo.94.466;Raspberry.23.221;Serrucho.5.761;JetsonNano.32.585;Martillo.91.23;Tuerca.8.808,Pegamento.13.933;Goma.35.175;OrangePi.23.40;JetsonNano.39.513;Boligrafo.71.376;Sacapuntas.77.798;Arduino.12.297
Raspberry.76.357;Arduino.25.186;IntelGalileo.63.88;Alicate.90.856;Goma.2.291,Cable.75.344,Arduino.59.524;Serrucho.39.808;Cable.88.319;Destornillador.93.286,Destornillador.46.620;Goma.52.922;Pegamento.25.70;Tuerca.85.960;Raspberry.16.227;Sacapuntas.25.419,Boligrafo.36.465;Martillo.86.604;Arduino.6.534;Pegamento.38.194;Goma.89.315;Tuerca.11.989,Goma.33.959,OrangePi.19.402;Tornillo.58.121;Cuaderno.90.730;Tijeras.85.436;Clavo.74.557,Serrucho.17.102;Raspberry.15.786;Clavo.26.341;Boligrafo.32.90;Tornillo.24.657;Martillo.90.233;Cable.31.542,IntelGalileo.55.944,Destornillador.48.93;Clavo.56.82;Tuerca.43.529;Alicate.54.846;Goma.63.201
Boligrafo.89.339;Tuerca.33.215,Tuerca.62.365;Martillo.16.399,Tornillo.68.375;Carpeta.100.655,Carpeta.73.297;JetsonNano.96.172;Serrucho.31.600;Cable.99.123;Lapiz.48.625;Cuaderno.71.891;Raspberry.97.957;Sacapuntas.89.50;Tornillo.25.867,Martillo.45.131;Boligrafo.75.715;Lapiz.35.445;Carpeta.48.917;Tornillo.78.539;JetsonNano.69.793,Goma.62.328;Boligrafo.64.458;Tuerca.58.777;Tornillo.86.455;JetsonNano.59.509;Cable.35.854,Clavo.11.425;OrangePi.44.665;Carpeta.31.774;Alicate.45.352,Lapiz.41.533;OrangePi.28.144;Boligrafo.57.870;Martillo.31.916;IntelGalileo.49.496;Tornillo.94.409;Carpeta.1.269;JetsonNano.98.734;Pegamento.27.218,Sacapuntas.87.243;Cuaderno.84.5;Goma.85.834;Alicate.71.498;Lapiz.90.873;Martillo.87.884;OrangePi.84.220,JetsonNano.25.317;Goma.30.526;Martillo.50.571;Serrucho.82.27
Carpeta.71.363;Sacapuntas.28.221;Goma.68.370;Cuaderno.66.690;Alicate.40.531,Lapiz.41.768;Arduino.3.196;Cable.6.796;Goma.62.678;Destornillador.89.726,Arduino.57.73;Clavo.42.125;IntelGalileo.63.991;Pegamento.91.826;Destornillador.82.758,Martillo.5.901;Pegamento.58.698;Cable.47.796,Tuerca.27.91;Martillo.94.537;Serrucho.62.795;IntelGalileo.24.26;Goma.90.904,Arduino.39.613;Martillo.83.53,Clavo.91.883;Destornillador.91.394;IntelGalileo.85.602;Arduino.9.468;Goma.17.620;Alicate.82.698;Cuaderno.23.6,Clavo.82.801;Martillo.37.989,Tornillo.70.511;OrangePi.20.68;Destornillador.56.917;Tijeras.35.175;Cable.23.92,Tuerca.61.925;Tornillo.75.636;Serrucho.92.477;OrangePi.92.461;Pegamento.25.837;Cuaderno.45.649;Goma.5.655
